,optim_,prev,enhance_rate:%,len_d,attribute,len_Cx,len_C
42,0.3269230769230769,0.09829059829059829,333.0,0,"[0.0, 12.0, 20.0]",4,6
43,0.24414715719063546,0.07381193124368049,331.0,0,"[0.0, 1.0, 16.0]",2,4
44,0.22666666666666666,0.0687593423019432,330.0,0,"[0.0, 18.0, 21.0]",1,4
45,0.3783783783783784,0.11557788944723618,327.0,0,"[3.0, 5.0, 18.0]",4,7
46,0.39903846153846156,0.12234042553191489,326.0,0,"[11.0, 12.0, 13.0]",4,5
47,0.25806451612903225,0.07944732297063903,325.0,0,"[5.0, 6.0, 7.0]",1,3
48,0.425,0.13142857142857142,323.0,0,"[5.0, 12.0, 20.0]",4,6
49,0.2982456140350877,0.09274193548387097,322.0,0,"[0.0, 16.0, 19.0]",1,2
50,0.21333333333333335,0.06657018813314038,320.0,0,"[4.0, 6.0, 8.0]",1,3
51,0.33663366336633666,0.10574712643678161,318.0,0,"[0.0, 7.0, 19.0]",1,2
52,0.352112676056338,0.1111111111111111,317.0,0,"[5.0, 12.0, 18.0]",2,4
53,0.3269230769230769,0.1036036036036036,316.0,0,"[0.0, 13.0, 20.0]",4,6
54,0.28125,0.08914728682170543,315.0,0,"[2.0, 16.0, 20.0]",1,7
55,0.25806451612903225,0.08214285714285714,314.0,0,"[0.0, 5.0, 20.0]",2,5
56,0.3238095238095238,0.10337078651685393,313.0,0,"[0.0, 18.0, 19.0]",1,2
57,0.28125,0.09019607843137255,312.0,0,"[2.0, 6.0, 20.0]",1,7
58,0.25806451612903225,0.08303249097472924,311.0,0,"[5.0, 6.0, 20.0]",2,5
59,0.26666666666666666,0.08598130841121496,310.0,0,"[0.0, 3.0, 18.0]",2,6
60,0.2982456140350877,0.09663865546218488,309.0,0,"[0.0, 12.0, 19.0]",2,3
61,0.3783783783783784,0.12266666666666666,308.0,0,"[3.0, 5.0, 20.0]",6,11
62,0.24691358024691357,0.08063102541630149,306.0,0,"[0.0, 3.0, 16.0]",2,6
63,0.352112676056338,0.11528822055137844,305.0,0,"[5.0, 7.0, 12.0]",2,4
64,0.21333333333333335,0.07033639143730887,303.0,0,"[4.0, 8.0, 18.0]",1,3
65,0.45161290322580644,0.14935064935064934,302.0,0,"[6.0, 10.0, 11.0]",1,2
66,0.352112676056338,0.11704834605597965,301.0,0,"[5.0, 7.0, 13.0]",2,4
67,0.34594594594594597,0.11514195583596215,300.0,0,"[5.0, 8.0, 14.0]",2,3
68,0.3269230769230769,0.10952380952380952,298.0,0,"[0.0, 19.0, 20.0]",3,5
69,0.425,0.14330218068535824,297.0,0,"[5.0, 18.0, 19.0]",2,3
70,0.2028985507246377,0.06865671641791045,296.0,0,"[8.0, 16.0, 21.0]",2,5
71,0.24691358024691357,0.0842876775080165,293.0,0,"[0.0, 3.0, 6.0]",2,6
72,0.46715328467153283,0.16043956043956045,291.0,0,"[2.0, 4.0, 11.0]",2,4
73,0.2828282828282828,0.09745762711864407,290.0,0,"[6.0, 8.0, 19.0]",1,2
74,0.42953020134228187,0.1492842535787321,288.0,0,"[1.0, 5.0, 13.0]",4,6
75,0.358974358974359,0.12525527569775358,287.0,0,"[7.0, 8.0, 9.0]",5,8
76,0.27044025157232704,0.09465020576131687,286.0,0,"[0.0, 12.0, 21.0]",3,6
77,0.3699421965317919,0.12966252220248667,285.0,0,"[1.0, 5.0, 17.0]",4,6
78,0.35964912280701755,0.1267361111111111,284.0,0,"[1.0, 6.0, 20.0]",4,6
79,0.352112676056338,0.12432432432432433,283.0,0,"[4.0, 11.0, 12.0]",2,4
80,0.2664233576642336,0.09480519480519481,281.0,0,"[1.0, 10.0, 17.0]",1,3
81,0.3783783783783784,0.1348973607038123,280.0,0,"[3.0, 5.0, 7.0]",4,7
82,0.29292929292929293,0.1050228310502283,279.0,0,"[0.0, 8.0, 21.0]",4,6
83,0.425,0.1541038525963149,276.0,0,"[3.0, 5.0, 12.0]",8,10
84,0.27044025157232704,0.09829059829059829,275.0,0,"[0.0, 13.0, 21.0]",3,6
85,0.18604651162790697,0.06784660766961652,274.0,0,"[0.0, 16.0, 20.0]",2,5
86,0.3870967741935484,0.14153846153846153,273.0,0,"[0.0, 2.0, 8.0]",2,4
87,0.2967032967032967,0.10913404507710557,272.0,0,"[0.0, 3.0, 21.0]",6,12
88,0.28125,0.1036036036036036,271.0,0,"[2.0, 13.0, 20.0]",2,8
89,0.3301204819277108,0.12248322147651007,270.0,0,"[1.0, 7.0, 21.0]",5,6
90,0.2641509433962264,0.09844836811128946,268.0,0,"[8.0, 9.0, 17.0]",5,8
91,0.2828282828282828,0.10599078341013825,267.0,0,"[4.0, 8.0, 19.0]",2,3
92,0.21621621621621623,0.08156028368794327,265.0,0,"[0.0, 7.0, 20.0]",2,5
93,0.4823943661971831,0.18295739348370926,264.0,0,"[1.0, 11.0, 12.0]",3,4
94,0.3699421965317919,0.14065510597302505,263.0,0,"[1.0, 5.0, 12.0]",4,6
95,0.2571428571428571,0.09829059829059829,262.0,0,"[6.0, 12.0, 20.0]",2,4
96,0.3269230769230769,0.12568306010928962,260.0,0,"[0.0, 14.0, 20.0]",3,5
97,0.46715328467153283,0.18024691358024691,259.0,0,"[0.0, 2.0, 11.0]",2,4
98,0.25,0.0970464135021097,258.0,0,"[3.0, 7.0, 21.0]",6,10
99,0.27238805970149255,0.10602759622367465,257.0,0,"[1.0, 12.0, 18.0]",2,4
100,0.3504273504273504,0.13670411985018727,256.0,0,"[1.0, 12.0, 20.0]",4,6
101,0.2463768115942029,0.09653725078698845,254.99999999999997,0,"[0.0, 2.0, 21.0]",2,6
102,0.2692307692307692,0.10599078341013825,254.0,0,"[6.0, 8.0, 10.0]",1,2
103,0.28125,0.1111111111111111,252.99999999999997,0,"[6.0, 19.0, 20.0]",1,3
104,0.2571428571428571,0.10222222222222223,252.0,0,"[13.0, 16.0, 20.0]",2,4
105,0.1504424778761062,0.05997392438070404,250.99999999999997,0,"[6.0, 7.0, 21.0]",1,3
106,0.1504424778761062,0.060209424083769635,250.0,0,"[7.0, 18.0, 21.0]",1,3
107,0.425,0.17037037037037037,249.00000000000003,0,"[3.0, 5.0, 19.0]",5,7
